Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2015-16,2016-17,2017-18,2018-19,2019-20,Source document,Source table
Agriculture Portfolio and Water Resources,Fisheries Research and Development Corporation,"Outcome 1: Increased economic, social and environmental benefits for Australian fishing and aquaculture, and the wider community, by investing in knowledge, innovation, and marketing.",Programme 1.1: Fisheries Research and Development Corporation,[not published],Revenues from industry sources ,,6850,6122,7550,7800,8100,Fisheries Research and Development Corporation 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Fisheries Research and Development Corporation,"Outcome 1: Increased economic, social and environmental benefits for Australian fishing and aquaculture, and the wider community, by investing in knowledge, innovation, and marketing.",Programme 1.1: Fisheries Research and Development Corporation,[not published],Revenues from other independent sources ,,1729,398,1642,1780,1325,Fisheries Research and Development Corporation 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Cotton Research and Development Corporation,"Outcome 1: Adoption of innovation that leads to increased productivity, competitiveness and environmental sustainability through investment in research and development that benefits the Australian cotton industry and the wider community. ",Programme 1.1:  Cotton Research and Development Corporation,[not published],Special appropriations,Primary Industries Research and Development Act 1989 s.30(3) - Cotton R&D Corporation,5200,5308,5891,6564,6562,Cotton Research and Development Corporation 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Cotton Research and Development Corporation,"Outcome 1: Adoption of innovation that leads to increased productivity, competitiveness and environmental sustainability through investment in research and development that benefits the Australian cotton industry and the wider community. ",Programme 1.1:  Cotton Research and Development Corporation,[not published],Special appropriations,Industry Levies,5335,5445,6030,6705,6705,Cotton Research and Development Corporation 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Cotton Research and Development Corporation,"Outcome 1: Adoption of innovation that leads to increased productivity, competitiveness and environmental sustainability through investment in research and development that benefits the Australian cotton industry and the wider community. ",Programme 1.1:  Cotton Research and Development Corporation,[not published],Revenues from other independent sources ,,6848,2420,1877,1705,1705,Cotton Research and Development Corporation 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Cotton Research and Development Corporation,"Outcome 1: Adoption of innovation that leads to increased productivity, competitiveness and environmental sustainability through investment in research and development that benefits the Australian cotton industry and the wider community. ",Programme 1.1:  Cotton Research and Development Corporation,[not published],Reserves,,5497,7228,4118,0,0,Cotton Research and Development Corporation 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Australian Fisheries Management Authority,"Outcome 1: Ecologically sustainable and economically efficient Commonwealth fisheries, through understanding and monitoring Australia's marine living resources and regulating and monitoring commercial fishing, including domestic licensing and deterrence of illegal foreign fishing.",Programme 1.1: Australian Fisheries Management Authority ,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Illegal Foreign Fishing Vessel Caretaking and Disposal,5392,5354,5446,5534,5627,Australian Fisheries Management Authority 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Australian Fisheries Management Authority,"Outcome 1: Ecologically sustainable and economically efficient Commonwealth fisheries, through understanding and monitoring Australia's marine living resources and regulating and monitoring commercial fishing, including domestic licensing and deterrence of illegal foreign fishing.",Programme 1.1: Australian Fisheries Management Authority ,Departmental expenses,Departmental appropriation,,22943,23438,23637,23424,23467,Australian Fisheries Management Authority 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Australian Fisheries Management Authority,"Outcome 1: Ecologically sustainable and economically efficient Commonwealth fisheries, through understanding and monitoring Australia's marine living resources and regulating and monitoring commercial fishing, including domestic licensing and deterrence of illegal foreign fishing.",Programme 1.1: Australian Fisheries Management Authority ,Departmental expenses,Special account,AFMA Special account,12939,14704,13715,13817,14116,Australian Fisheries Management Authority 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Australian Fisheries Management Authority,"Outcome 1: Ecologically sustainable and economically efficient Commonwealth fisheries, through understanding and monitoring Australia's marine living resources and regulating and monitoring commercial fishing, including domestic licensing and deterrence of illegal foreign fishing.",Programme 1.1: Australian Fisheries Management Authority ,[not published],Expenses not requiring appropriation in the Budget year,,2244,2144,2145,2045,1965,Australian Fisheries Management Authority 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Australian Grape and Wine Authority,"Outcome 1: Foster and enable a competitive Australian wine industry by investing in research and development, building markets, disseminating knowledge and ensuring compliance.",Programme 1.1: Australian Grape and Wine Authority,[not published],Payment from related entities,,0,2000,16014,15924,16062,Australian Grape and Wine Authority 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Australian Grape and Wine Authority,"Outcome 1: Foster and enable a competitive Australian wine industry by investing in research and development, building markets, disseminating knowledge and ensuring compliance.",Programme 1.1: Australian Grape and Wine Authority,[not published],Special appropriations,"Australian Grape and Wine Authority Act 2013, s. 32 - payments to the Authority",31187,30781,29781,29781,29781,Australian Grape and Wine Authority 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Australian Grape and Wine Authority,"Outcome 1: Foster and enable a competitive Australian wine industry by investing in research and development, building markets, disseminating knowledge and ensuring compliance.",Programme 1.1: Australian Grape and Wine Authority,[not published],Revenues from other independent sources ,,7358,6886,6886,6886,6886,Australian Grape and Wine Authority 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Australian Pesticides and Veterinary Medicines Authority,"Outcome 1: Protection of the health and safety of people, animals, the environment, and agricultural and livestock industries through regulation of pesticides and veterinary medicines.",Programme 1.1: Australian Pesticides and Veterinary Medicines Authority,[not published],"Ordinary annual services
 (Appropriation Bill No. 1)",,732,3012,2643,1603,1615,Australian Pesticides and Veterinary Medicines Authority 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Australian Pesticides and Veterinary Medicines Authority,"Outcome 1: Protection of the health and safety of people, animals, the environment, and agricultural and livestock industries through regulation of pesticides and veterinary medicines.",Programme 1.1: Australian Pesticides and Veterinary Medicines Authority,[not published],Payment from related entities,,143,143,144,140,143,Australian Pesticides and Veterinary Medicines Authority 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Australian Pesticides and Veterinary Medicines Authority,"Outcome 1: Protection of the health and safety of people, animals, the environment, and agricultural and livestock industries through regulation of pesticides and veterinary medicines.",Programme 1.1: Australian Pesticides and Veterinary Medicines Authority,[not published],Special appropriations,Agricultural and Veterinary Chemicals (Administration) Act 1992 - s. 58 (6) amount payable to the APVMA,31913,32351,33237,33769,34316,Australian Pesticides and Veterinary Medicines Authority 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Australian Pesticides and Veterinary Medicines Authority,"Outcome 1: Protection of the health and safety of people, animals, the environment, and agricultural and livestock industries through regulation of pesticides and veterinary medicines.",Programme 1.1: Australian Pesticides and Veterinary Medicines Authority,[not published],Revenues from other independent sources ,,210,212,215,218,221,Australian Pesticides and Veterinary Medicines Authority 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.1: Agricultural Adaptation,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Clean Energy Future - Creating Opportunities on the Land - extending the benefits of the Carbon Farming Initiative,16997,10526,0,0,0,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.2: Sustainable Management - Natural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),A more competitive and sustainable fisheries sector - Recognise OceanWatch as a Natural Resource Management Group,600,600,600,0,0,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.2: Sustainable Management - Natural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),"Stronger Farmers, Stronger Economy - strengthening research, skills and management of natural resources - Pest Animal and Weed Management",900,9150,9350,6305,0,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.2: Sustainable Management - Natural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),National Landcare Programme,5862,909,0,0,0,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.2: Sustainable Management - Natural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),National Landcare Programme transfer to special account,-5862,-909,0,0,0,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.2: Sustainable Management - Natural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),National Carp Control Plan,0,2548,1848,784,0,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.3: Forestry Industry,Administered expenses,Special appropriations,"Forestry Marketing and Research and Development Services Act 2007, s. 9(1) - payments and matching payments to an industry services body and Commonwealth administration expenses",9688,10561,10976,11442,11906,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.4: Fishing Industry,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),A more competitive and sustainable fisheries sector - Support for Recreational and Commercial Fishing Peak Bodies,300,200,200,0,0,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.4: Fishing Industry,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Fisheries Resources Research Fund,382,440,2305,2341,2381,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.4: Fishing Industry,Administered expenses,Special appropriations,"Primary Industries Research and Development Act 1989, 
s. 30A(3) & s. 30B(9) - Fisheries R&D Corporation",20244,21431,21827,22228,22586,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.4: Fishing Industry,Administered expenses,Special account,"Natural Resources Management Account - s. 80, PGPA Act 2013 [s. 11, Natural Resources Management (Financial Assistance) Act 1992]",5428,1923,1183,0,0,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Sustaining Natural Resources for Longer Term Productive Primary Industries (non-programme expenses),Departmental expenses,Departmental appropriation,,37257,35871,28481,27775,26044,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Sustaining Natural Resources for Longer Term Productive Primary Industries (non-programme expenses),Departmental expenses,Expenses not requiring appropriation in the budget year,,707,707,707,493,493,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.5: Horticulture Industry,Administered expenses,Special appropriations,"Horticulture Marketing and Research and Development Services Act 2000, s. 16(9)",93087,95796,95796,95796,95796,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.6: Wool Industry,Administered expenses,Special appropriations,"Wool Services Privatisation Act 2000, s. 31(4)",68600,69100,69100,69100,69100,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.7: Grains Industry,Administered expenses,Special appropriations,"Primary Industries Research and Development Act 1989, s. 30(3) - Grains R&D Corporation - Other Grains ",91039,84443,85339,85665,85588,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.7: Grains Industry,Administered expenses,Special appropriations,"Primary Industries Research and Development Act 1989, s. 30(3) - Grains R&D Corporation - Wheat ",85271,98234,95606,97299,97600,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.8: Dairy Industry,Administered expenses,Special appropriations,"Dairy Produce Act 1986, s. 6(1)",58122,58451,59390,58573,59354,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.9: Meat and Livestock Industry,Administered expenses,Special appropriations,"Australian Meat and Live-stock Industry Act 1997, s. 63(2) - payments to the industry marketing body",85631,66120,65906,68217,69831,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.9: Meat and Livestock Industry,Administered expenses,Special appropriations,"Australian Meat and Live-stock Industry Act 1997, s. 64(2) - payments to the industry research body ",28332,22075,22188,22981,23491,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.9: Meat and Livestock Industry,Administered expenses,Special appropriations,"Australian Meat and Live-stock Industry Act 1997, s. 64A(2) - payments to the livestock export marketing body",4541,4095,4310,4320,4331,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.9: Meat and Livestock Industry,Administered expenses,Special appropriations,"Australian Meat and Live-stock Industry Act 1997, s. 64B(2) - payments to the livestock export research body ",910,821,864,866,868,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.9: Meat and Livestock Industry,Administered expenses,Special appropriations,"Australian Meat and Live-stock Industry Act 1997, s. 64C(2) - payments to the meat processor marketing body",6294,5665,5665,5665,5665,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.9: Meat and Livestock Industry,Administered expenses,Special appropriations,"Australian Meat and Live-stock Industry Act 1997, s. 64D(2) - payments to the meat processor research body",11190,10071,10071,10071,10071,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.9: Meat and Livestock Industry,Administered expenses,Special appropriations,"Australian Meat and Live-stock Industry Act 1997, s. 66(1) - Commonwealth contribution to industry research body",55396,53662,51713,51766,51822,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.9: Meat and Livestock Industry,Administered expenses,Special appropriations,"Pig Industry Act 2001, s. 10(1)",19750,21888,22205,22758,23316,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),A Competitive Agriculture Sector - boosting farm profits through rural research and development,29295,19799,19194,25000,25000,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),A Competitive Agriculture Sector - improved access to Agricultural and Veterinary Chemicals,1718,2532,1930,0,0,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Agricultural and Veterinary Chemicals Minor Use Programme,143,143,144,140,143,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Rural Industries Research and Development Corporation,8628,9170,9379,9526,9284,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),"Stronger Farmers, Stronger Economy - a fairer go for farm businesses - farm co-operatives and collaboration pilot",700,6888,6188,0,0,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Australian Grape and Wine Authority,0,2000,16014,15924,16062,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.10: Agricultural Resources,Administered expenses,Special appropriations,Agricultural and Veterinary Chemicals (Administration) Act 1992 - s. 58 (6) amount payable to the APVMA,29360,30770,32549,33050,33574,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.10: Agricultural Resources,Administered expenses,Special appropriations,"Australian Grape and Wine Authority Act 2013, s. 32 - payments to the Authority",29939,29551,29541,29532,29529,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.10: Agricultural Resources,Administered expenses,Special appropriations,"Egg Industry Service Provision Act 2002, s. 8(1)",9021,9160,9348,9712,9914,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.10: Agricultural Resources,Administered expenses,Special appropriations,"Primary Industries Research and Development Act 1989, s. 30(3) - Cotton R&D Corporation",10535,10753,11921,13269,13267,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.10: Agricultural Resources,Administered expenses,Special appropriations,"Primary Industries Research and Development Act 1989, s. 30(3) - Rural Industries R&D Corporation ",7935,8189,8750,8786,8822,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
