Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2012-13,2013-14,2014-15,2015-16,2016-17,Source document,Source table,URL
Treasury & Related Departments,Australian Taxation Office,Superannuation Co-contribution Scheme,,,,,83000.0,138000.0,113781.7,128081.3,148254.2,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,Superannuation Guarantee Scheme,,,,,328000.0,339000.0,316326.3,242728.5,235313.7,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,Fuel Tax Credits Scheme,,,,,5519000.0,5871000.0,6661059.3,5734830.7,6317981.5,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,National Rental Affordability Scheme,,,,,33000.0,130944.0,125840.5,138113.0,114475.5,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,First Home Saver Accounts,,,,,17000.0,19000.0,23703.5,23179.6,24847.6,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,Interest on Overpayments and Early Payments,,,,,500000.0,500000.0,376353.3,322907.1,276155.5,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,Bad and Doubtful Debts and Remissions,,,,,6782536.0,6985728.0,8687107.7,6849193.3,7050367.2,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,Low Income Superannuation Contribution (LISC),,,,,954600.0,975600.0,1204969.1,1312969.3,1146185.4,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,Baby Bonus Tax Offset,,,,,1000.0,0.0,0.0,0.0,0.0,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,Other Administered,,,,,60000.0,35600.0,44211.0,54137.4,41746.0,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Clean Energy Finance Corporation,,,,,,8409.0,338352.0,356660.7,386918.9,293345.9,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Commonwealth Grants Commission,,,,,,6524.0,6509.0,6739.3,5247.8,4908.7,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Corporations and Markets Advisory Committee,,,,,,1016.0,1017.0,1208.5,1428.8,1096.6,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Inspector General of Taxation,,,,,,2660.0,2656.0,3035.5,3425.5,3938.8,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,National Competition Council,,,,,,2784.0,2795.0,2836.7,3482.1,3082.8,Department of Finance and Deregulation PBS,Table 2.1.3,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Office of the Auditing & Assurance Standards Board,,,,,,2337.0,2361.0,2437.5,1882.0,2227.5,Department of Finance and Deregulation PBS,Table 2.1.3,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Office of the Australian Accounting Standards Board,,,,,,4728.0,4760.0,5438.7,6669.2,7504.6,Department of Finance and Deregulation PBS,Table 2.1.3,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Productivity Commission,,,,,,38452.0,38977.0,32093.0,34752.2,28921.1,Department of Finance and Deregulation PBS,Table 2.1.3,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Royal Australian Mint,,,,,,151402.0,152423.0,171899.0,149499.1,152480.6,Department of Finance and Deregulation PBS,Table 2.1.3,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance & Deregulation,"Policy Advice, implementation, and financial guidance","Budget, Financial Management, Better Regulation and Procurement Framework",Budget Advice,,,,56095.0,56745.0,48664.3,56000.4,46367.7,Department of Finance and Deregulation PBS,Table 2.1.3,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance & Deregulation,"Policy Advice, implementation, and financial guidance","Budget, Financial Management, Better Regulation and Procurement Framework",Financial Reporting ,,,,20192.0,12889.0,13925.1,13606.9,16059.9,Department of Finance and Deregulation PBS,Table 2.1.3,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance & Deregulation,"Policy Advice, implementation, and financial guidance","Budget, Financial Management, Better Regulation and Procurement Framework",Financial Framework ,,,,23223.0,22080.0,19756.6,18213.6,13734.8,Department of Finance and Deregulation PBS,Table 2.1.3,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance & Deregulation,"Policy Advice, implementation, and financial guidance","Budget, Financial Management, Better Regulation and Procurement Framework",Deregulation and Regulatory Reform ,,,,12028.0,12010.0,12846.6,13447.0,12153.7,Department of Finance and Deregulation PBS,Table 2.1.3,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance & Deregulation,"Policy Advice, implementation, and financial guidance","Budget, Financial Management, Better Regulation and Procurement Framework",Procurement Framework,,,,9470.0,9457.0,9649.4,10891.6,8460.7,Department of Health and Ageing PBS,Table 1.2,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Finance & Deregulation,"Policy Advice, implementation, and financial guidance","Budget, Financial Management, Better Regulation and Procurement Framework",Coordinated Procurement Contracting,,,,94681.0,117833.0,147037.9,148746.2,140928.0,Department of Health and Ageing PBS,Table 1.2,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Finance & Deregulation,"Policy Advice, implementation, and financial guidance","Budget, Financial Management, Better Regulation and Procurement Framework",Other,,,,5619.0,13032.0,16109.5,18968.8,18762.0,Department of Health and Ageing PBS,Table 1.3,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Finance & Deregulation,"Policy Advice, implementation, and financial guidance",Public Sector Superannuation ,,,,,7975324.0,7072485.0,6750679.9,5140290.0,4249528.5,Department of Health and Ageing PBS,Table 1.3,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Finance & Deregulation,"Policy Advice, implementation, and financial guidance",Nation Building Funds and DisabilityCare Australia Fund,Building Australia Fund,,,,896275.0,953872.0,1046856.1,1052465.5,922647.5,Department of Health and Ageing PBS,Table 1.4,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Finance & Deregulation,"Policy Advice, implementation, and financial guidance",Nation Building Funds and DisabilityCare Australia Fund,Education Investment Fund,,,,426404.0,266579.0,252966.4,247574.3,302028.2,Department of Health and Ageing PBS,Table 1.4,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Finance & Deregulation,"Policy Advice, implementation, and financial guidance",Nation Building Funds and DisabilityCare Australia Fund,Health and Hospitals Fund,,,,717741.0,715705.0,832717.4,632578.4,736719.5,Department of Health and Ageing PBS,Table 1.5,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Finance & Deregulation,Administration and oversight of government enterprise,Australian Government Business and ICT,,,,,57208.0,48616.0,57718.7,60025.4,67400.5,Department of Health and Ageing PBS,Table 1.5,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Finance & Deregulation,Administration and oversight of government enterprise,Property and Construction ,,,,,82959.0,86371.0,84858.9,101160.1,104138.5,Department of Health and Ageing PBS,Table 1.5,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Finance & Deregulation,Administration and oversight of government enterprise,Insurance and Risk Management,,,,,84641.0,98335.0,98681.3,100752.3,83247.0,Department of Health and Ageing PBS,Table 1.5,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Finance & Deregulation,Ministerial and Parliamentary Services ,,,,,,466785.0,510173.0,520034.7,560401.4,524330.9,Department of Health and Ageing PBS,Table 1.5,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Finance & Deregulation,Australian Electoral Commission,Electoral Roll Management ,,,,,62726.0,53472.0,65531.3,72914.8,83961.9,Department of Health and Ageing PBS,Table 1.5,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Finance & Deregulation,Australian Electoral Commission,Election Management and Support Services,,,,,58236.0,309411.0,273129.9,243075.7,188668.6,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Finance & Deregulation,Australian Electoral Commission,Education and Communication ,,,,,19672.0,18048.0,15420.7,14019.5,16428.3,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Finance & Deregulation,Commonwealth Superannuation Corporation,,,,,,7062.0,7199.0,6440.6,5576.2,5130.8,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Finance & Deregulation,ComSuper,,,,,,80852.0,80859.0,100963.0,98890.3,103780.1,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Finance & Deregulation,Future Fund Management Agency,,,,,,44589.0,47345.0,44074.1,50700.2,48894.3,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Military Capability,Office of the Secretary and CDF,,,,143470.0,164722.0,158812.3,163505.3,175585.1,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Military Capability,Navy Capabilities,,,,4426687.0,4581265.0,3916099.7,4759246.1,5267604.3,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Military Capability,Army Capabilities,,,,5184520.0,5500657.0,5917948.0,7303993.7,8430642.4,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Military Capability,Air Force Capabilities,,,,4403620.0,4488725.0,3884375.8,3584013.0,4242802.6,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Military Capability,Intelligence Capabilities,,,,519880.0,538374.0,472862.9,557141.5,689346.1,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Military Capability,Defence Support,,,,3949961.0,4081986.0,3543027.7,4187872.9,4655544.2,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Military Capability,Chief Information Officer,,,,986635.0,987373.0,1169664.4,1245575.4,1295204.2,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Military Capability,Defence People,,,,355365.0,452754.0,544151.8,467904.0,573085.5,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Military Capability,Defence Science and Technology,,,,481932.0,462517.0,564377.8,525767.5,633042.4,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Military Capability,Vice Chief of the Defence Force,,,,1403913.0,1482730.0,1473880.0,1819779.5,1403439.3,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Military Capability,Joint Operations Command,,,,46679.0,51053.0,45158.3,39809.5,36229.6,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Military Capability,Capability Development,,,,301483.0,970044.0,1077273.9,1043255.9,1043413.9,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Military Capability,Chief Finance Officer,,,,1318058.0,1382865.0,1660435.6,1733607.0,1939234.2,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Military Capability,Defence Force Superannuation Benefits,,,,3170146.0,1352344.0,1429783.7,1326893.1,1036996.2,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Military Capability,Defence Force Superannuation Nominal Interest,,,,2680039.0,2927644.0,3157290.3,2674499.4,2616006.4,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Military Capability,Housing Assistance,,,,98036.0,106589.0,128448.0,138527.0,161715.7,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Military Operations,Operations Contributing to the Security of the Immediate Neighbourhood,,,,168104.0,16685.0,17574.8,16643.4,14645.7,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Military Operations,Operations Supporting Wider Interests,,,,1251306.0,895675.0,994300.1,990859.8,936630.3,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Department of Defence,Defence Contribution to National Support Tasks in Australia,,,,,9500.0,16933.0,15021.3,14342.0,13859.0,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Acquisition,Battlespace Communications System (LAND),,,,0.0,152000.0,150956.5,127216.8,138621.3,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Acquisition,Battlefield A irlift - Caribou Replacement,,,,0.0,162000.0,165233.7,153707.3,158671.4,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Acquisition,Multi Role Helicopter,,,,0.0,204000.0,254876.6,209295.8,242177.1,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Acquisition,Future Naval Aviation Combat System Helicopter,,,,0.0,412000.0,325570.2,250336.8,211020.4,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Acquisition,Air Warfare Destroyer Build,,,,0.0,625000.0,483049.3,570276.4,449195.7,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
